 58 04 15 39 48 32 15 12 12 22 18188.0 99
 58 04 16 27 27 32 27 27 27 39 48197.0108
 58 04 17 67 48 32 27 32 80 67 80207.0147
 58 04 18 48 56 39 27 32 48 48 56213.0168
 58 04 19 22 18 15 32 18 22 32 32221.0191
 58 04 20 15 22 22  6 12 12 12 22226.0192
 58 04 21  7 18  9 12 12 15  7 32229.0212
 58 04 22  9  9  9  9  4  5  5  2237.0212
 58 04 23  0  0  3  7  7 18  7 15235.0201
 58 04 24 18 27 22  7  7 18  6 12244.0181
 58 04 25 22 22  7  7 18  5  4  2241.0206
 58 04 26  2  2  4  4 12 39 32  9245.0182
 58 04 27  4  6  9  4  5 15 22 15247.0192
 58 04 28 18 27 18 18 27 22 27 39258.0198
 58 04 29 39 56 27 27 27 32 18 22255.0207
 58 04 30 32 32 27 18 18 32 32 39265.0208
 58 05 01 22 15 18 22  9 22 27 32266.0250
 58 05 02 15 27 12  7  3  5 12  6276.0246
 58 05 03  6 12  3  6  5  5  7  9278.0269
 58 05 04 12  9 15  6  6  5  3 12280.0268
 58 05 05  9 12  6  4  5 12 22 22269.0267
 58 05 06 18 12  9  6  5  5  5  4263.0223
 58 05 07  5  6  6  5  3  3  7 12249.0198
 58 05 08  6  6  7  6 18 12 12 22236.0177
 58 05 09  7  6 22 15 15  4  6  7239.0150
 58 05 10 15 12 12 27 22 27 27 18209.0181
 58 05 11  3  3 18 22  7 12  9  4211.0166
 58 05 12  2  2  7  5  7 27 32 32209.0172
 58 05 13 22  9 15 18 39 32 32 67203.0114
 58 05 14 67 32 48 22 39 22 32 39194.0103
 58 05 15 27 48 22 12 18 27 39 22196.0106
 58 05 16 27 18 12  9 15 27 12  7194.0110
 58 05 17 15 22  9 12 22 18 18 18194.0116
 58 05 18 32 12 12 18 15 22 15 15197.0123
 58 05 19  7 15 22  6  7  5  9 12197.0140
 58 05 20  6  4  3  5  5  3  4  7197.0132
 58 05 21 12 15  6  2  4  4  5  3199.0162
 58 05 22  4  3  3  5  9  7  3  5199.0165
 58 05 23  9  4  3  3  3  3  4  4206.0171
 58 05 24  0  2  2  4  5  3  2  2211.0199
 58 05 25  2  5  4  3  2 12 18 32207.0189
 58 05 26 27 18 15 32111 67 18 27210.0170
 58 05 27 15 12  9 27 32 22 27 48201.0157
 58 05 28 39 22 15  6 12 12 18 18202.0160
 58 05 29 48 48 67 94 67 39 39 18219.0192
 58 05 30 18 18 12  7  7  9  5 18213.0178
 58 05 31  9 27  7 18 32 94179207209.0181
 58 06 01179 94 67 18 12 27 48 32219.0200
 58 06 02 32 18 32 27 39 32 22  3220.0154
 58 06 03  3  5  5  6  7 12  5  3227.0183
 58 06 04  5  9  5  6  4  6  5  3246.0203
 58 06 05  3  5  6  5 12 22  5  5256.0206
 58 06 06  3  9 15  9  4 12 15 56260.0192
 58 06 07179132 94132 27 18 22 12238.0185
 58 06 08  5  5  5  6  4 18 32 32233.0200
 58 06 09 48  9 22 18 22 22 39 80252.0202
 58 06 10 56 39 27 22 22 18 22 39234.0200
 58 06 11 18 27 12 18 18 18 18 18235.0193
 58 06 12  6 22 18 18 12 18 12 12227.0197
 58 06 13  9 15  9  5  3  7 15  9220.0178
 58 06 14  6  3  7  6  5  4 48 39208.0160
 58 06 15 15 39 56 32  9  7  7  3197.0132
 58 06 16 12  6 18 12 18  7  5  4191.0100
 58 06 17  4  7  4  5  4  2  5  5182.0113
 58 06 18  3  3  3  5  9  9 12  9177.0100
 58 06 19  5  5  6  5  6 18 15 12189.0114
 58 06 20 12  3  4  4  6  4  5 22193.0107
 58 06 21 22 39 32 94 94 94 94 56194.0141
 58 06 22 80 39 56 39 22  9 22 39213.0157
 58 06 23 22 18 18  6  9 12 15  7217.0187
 58 06 24 15 22 22 15 18 15 15 22221.0185
 58 06 25 15 15 12 22  9 15 18 18226.0191
 58 06 26  9  9  7  6  7  9  6  9233.0207
 58 06 27  9  6  9  6  5  5  5 15237.0207
 58 06 28  9 18 27 22 15 39132179232.0193
 58 06 29132207111 56179 94 32 12220.0200
 58 06 30  7 12  6  5  6 12 15  9217.0159
 58 07 01 48 18 18 12 15 12  6  6215.0165
 58 07 02  3  5  6  5  7  7  9  9215.0164
 58 07 03 12  7 15 12  9 39 15  9224.0190
 58 07 04  7 12 27 22 22 39 22 18232.0203
 58 07 05  9  6  7 12 15  7  7 27238.0209
 58 07 06 12  9  4  4  5  4  5  2232.0214
 58 07 07  3  6  9 27 18 18 32 22237.0212
 58 07 08 15 12154179236400300300232.0205
 58 07 09 94 67 80132 94 48 15 67218.0193
 58 07 10 48 18 12  9 12  7  9 22208.0201
 58 07 11 22  9 12  9  9  9 27 22203.0175
 58 07 12 27 18 27 32 18 22 18  7188.0130
