09,03,2023

1,1958,12,2024,

185.2,
184.4,186.2,186.5,182.4,177.5,173.3,171.9,171.7,170.7,169.2,167.9,167.7,
166.0,164.4,162.2,157.4,153.7,150.4,145.3,141.2,136.7,132.0,128.4,124.2,
120.9,117.4,114.3,112.5,110.2,107.3,102.5, 96.9, 92.9, 88.7, 83.8, 80.0,
 76.8, 71.9, 66.5, 62.4, 58.6, 54.7, 52.3, 51.7, 51.5, 50.7, 49.9, 48.3,
 45.1, 42.0, 40.2, 39.9, 39.7, 38.9, 37.5, 35.8, 33.8, 32.1, 31.4, 31.2,
 30.8, 31.2, 31.1, 30.4, 30.2, 29.7, 29.3, 28.8, 28.5, 27.7, 25.7, 23.5,
 21.8, 20.3, 18.1, 15.7, 14.0, 13.4, 13.5, 13.4, 13.1, 12.9, 13.3, 14.1,
 14.8, 15.0, 15.5, 16.5, 17.3, 17.8, 18.2, 19.0, 19.9, 22.0, 24.4, 26.4,
 29.3, 32.5, 35.4, 38.1, 41.0, 44.6, 49.7, 55.4, 61.3, 65.4, 67.8, 70.0,
 72.1, 75.6, 78.6, 80.8, 83.4, 86.9, 89.4, 90.5, 90.5, 90.2, 92.1, 95.3,
 97.1, 97.4, 99.0,101.3,101.6,100.7, 99.5, 99.1,101.1,103.7,104.4,103.9,
103.8,103.5,102.0,100.6,100.4,100.3,100.1,100.6, 99.6, 98.5, 98.9, 99.2,
 99.8,100.2,100.4,100.3,100.0, 99.6, 98.2, 95.7, 92.2, 89.2, 85.2, 80.4,
 77.0, 74.6, 71.6, 68.4, 65.9, 64.6, 63.4, 62.7, 63.8, 64.1, 64.7, 67.0,
 68.3, 68.7, 69.8, 70.7, 70.2, 68.0, 66.0, 63.5, 60.5, 59.1, 57.3, 54.1,
 50.3, 46.3, 44.2, 42.9, 41.0, 39.6, 38.1, 36.9, 35.3, 33.7, 33.0, 32.7,
 33.8, 35.3, 35.0, 34.9, 35.5, 35.4, 35.0, 34.2, 33.3, 31.5, 29.1, 27.0,
 25.0, 24.2, 23.4, 21.0, 19.3, 18.7, 17.8, 17.1, 17.2, 18.1, 18.8, 18.9,
 17.9, 16.1, 15.2, 15.6, 15.5, 15.2, 15.9, 16.9, 17.1, 16.4, 16.4, 17.6,
 19.3, 20.6, 22.3, 24.3, 26.1, 28.0, 30.4, 34.4, 39.6, 45.5, 51.2, 55.7,
 59.7, 62.6, 67.2, 73.8, 79.5, 85.1, 92.4, 98.4,102.4,104.8,106.8,110.8,
116.2,122.7,127.8,132.0,137.5,142.8,144.6,144.9,145.2,147.1,151.2,153.2,
152.6,151.5,149.9,147.9,145.8,144.3,142.5,140.3,140.1,140.2,138.0,133.4,
131.3,132.3,133.7,134.1,133.6,132.3,131.3,132.0,133.5,133.0,129.9,129.0,
128.3,124.9,121.2,116.8,112.8,110.4,108.5,103.3, 95.8, 90.9, 90.0, 89.9,
 88.2, 86.0, 82.0, 77.9, 74.0, 68.0, 63.4, 63.7, 65.7, 65.9, 64.6, 62.1,
 58.6, 55.3, 52.2, 49.2, 47.2, 46.3, 44.2, 40.0, 34.9, 30.4, 26.5, 23.8,
 22.7, 21.9, 20.9, 20.8, 20.8, 20.5, 19.9, 19.7, 19.8, 19.8, 19.4, 18.0,
 16.7, 16.0, 16.0, 16.6, 17.1, 16.7, 16.6, 16.1, 15.3, 16.1, 17.7, 18.9,
 20.1, 21.9, 24.2, 26.3, 28.2, 29.9, 32.4, 35.7, 39.5, 43.6, 46.5, 50.6,
 56.9, 62.7, 68.8, 74.4, 80.1, 89.0, 98.7,107.2,114.0,117.7,122.2,128.7,
132.7,135.4,139.7,143.1,146.2,147.6,147.6,146.9,145.9,146.7,146.8,143.2,
140.6,142.7,141.9,139.4,137.3,134.4,131.5,131.4,132.9,132.9,132.5,134.5,
137.9,137.9,137.0,136.9,136.0,135.7,136.7,137.0,135.4,132.5,129.3,123.5,
116.2,108.7,102.2, 97.7, 95.0, 92.1, 86.3, 80.3, 76.2, 73.4, 71.6, 70.5,
 68.9, 66.9, 64.5, 61.8, 58.4, 55.0, 53.7, 51.5, 48.0, 44.8, 41.5, 39.0,
 37.3, 35.7, 35.1, 34.7, 33.6, 32.1, 24.1, 23.4, 22.0, 19.1, 17.7, 17.0,
 17.0, 15.6, 15.6, 17.0, 16.3, 15.6, 14.9, 14.2, 12.1, 10.6,  9.2,  9.2,
  9.2,  9.2,  8.5,  9.2,  9.2,  8.5,  8.5,  8.5,  8.5,  8.5,  8.5,  8.5,
  9.2,  9.2, 10.6, 12.8, 14.9, 17.0, 18.4, 19.1, 21.3, 23.4, 24.8, 27.0,
 29.8, 32.6, 36.2, 39.7, 44.7, 47.5, 49.6, 52.5, 55.3, 56.7, 58.2, 61.0,
 64.5, 66.7, 68.1, 73.0, 76.6, 78.7, 80.1, 83.7, 90.8, 94.3, 95.7, 98.6,
100.7,100.7,100.0,105.0,111.3,112.1,111.3,112.8,112.8,107.8,102.8,102.1,
101.4, 99.3,100.0,104.3,109.2,109.9,114.2,118.4,118.4,117.0,115.6,115.6,
113.5,114.2,117.0,118.4,117.0,115.6,111.3,104.3, 96.5, 87.9, 81.6, 78.0,
 76.6, 75.2, 71.6, 68.8, 66.0, 62.4, 57.4, 55.3, 52.5, 48.2, 44.7, 44.0,
 43.3, 42.6, 41.1, 41.1, 40.4, 39.0, 37.6, 36.9, 35.5, 32.6, 30.5, 29.8,
 29.8, 29.1, 28.4, 28.4, 27.0, 25.5, 23.4, 22.7, 20.6, 19.1, 18.4, 17.0,
 16.3, 15.6, 14.9, 13.5, 14.2, 14.2, 13.5, 13.5, 12.8, 12.1, 10.6,  9.9,
  9.2,  9.2,  9.2,  9.2,  8.5,  7.8,  7.1,  7.1,  6.4,  5.7,  5.0,  4.3,
  3.5,  3.5,  2.8,  2.8,  3.5,  3.5,  3.5,  2.8,  2.8,  1.4,   .7,   .7,
   .7,   .7,  1.4,  2.1,  2.8,  2.8,  3.5,  5.0,  7.1,  7.8,  7.8,  8.5,
  8.5,  9.2, 10.6, 12.8, 14.9, 16.3, 16.3, 17.0, 18.4, 21.3, 22.0, 23.4,
 25.5, 26.2, 27.7, 31.9, 39.7, 44.7, 47.5, 50.4, 51.1, 50.4, 48.9, 50.4,
 53.2, 55.3, 57.4, 58.9, 58.9, 55.3, 53.9, 52.5, 51.8, 51.1, 51.8, 52.5,
 51.8, 53.2, 52.5, 52.5, 53.9, 56.7, 58.2, 61.7, 67.4, 68.8, 67.4, 66.0,
 66.7, 65.2, 65.2, 70.9, 75.9, 78.0, 76.6, 78.0, 75.2, 70.2, 66.7, 66.0,
 67.4, 64.5, 63.1, 60.3, 58.9, 56.0, 53.2, 51.8, 47.5, 41.8, 36.2, 33.3,
 31.2, 29.1, 29.1, 29.8, 27.7, 25.5, 23.4, 21.3, 18.4, 16.3, 14.9, 14.2,
 12.8, 12.1, 12.1, 12.1, 12.1, 11.3, 10.6,  9.9,  8.5,  7.8,  7.1,  7.1,
  7.1,  6.4,  5.7,  5.0,  4.3,  3.5,  2.8,  2.8,  2.1,  1.4,   .7,   .7,
   .7,   .0,   .0,   .0,   .7,   .7,   .7,   .7,   .7,   .7,   .0,   .0,
   .0,   .0,   .7,  1.4,  2.8,  3.5,  4.3,  5.0,  5.7,  5.7,  5.0,  5.7,
  7.1,  7.8,  8.5, 10.6, 12.8, 13.5, 14.2, 17.0, 19.9, 23.4, 27.7, 29.8,
 31.9, 32.6, 34.8, 39.0, 43.3, 48.2, 52.5, 58.9, 64.7, 66.7, 70.7, 72.6,
 76.6, 78.5, 82.4, 84.3, 88.1, 89.9, 93.4, 95.1, 98.4,100.0,103.0,104.4,
107.2,108.4,110.7,111.8,113.8,114.7,116.2,116.9,118.0,118.5,119.2,119.4,
120.8,

200.0,
