09,03,2023 

1,1948,12,2024

 1948  135.3,133.5,131.4,129.4,127.1,126.7,127.9,132.0,138.0,138.7,134.5,130.3,
 1949  127.9,126.0,124.7,124.6,126.3,127.4,125.9,121.9,116.9,113.8,112.5,111.1,
 1950  108.3,105.5,100.6, 94.3, 88.3, 82.6, 78.6, 75.7, 72.4, 69.6, 68.9, 69.6,
 1951   69.1, 67.1, 67.4, 68.2, 67.8, 67.4, 66.3, 64.2, 61.5, 57.8, 52.2, 46.6,
 1952   43.3, 42.2, 40.0, 36.8, 34.6, 33.1, 32.1, 30.8, 29.7, 29.2, 28.7, 27.7,
 1953   26.0, 23.7, 22.2, 21.3, 19.9, 17.9, 15.8, 14.6, 14.5, 13.6, 12.1, 10.9,
 1954    9.9,  9.2,  8.0,  7.3,  7.5,  8.0,  9.1, 10.7, 11.2, 11.3, 12.8, 15.0,
 1955   17.0, 19.0, 21.8, 25.4, 30.3, 36.0, 40.5, 46.3, 54.4, 62.5, 70.3, 77.5,
 1956   84.6, 93.4,103.2,111.7,119.6,128.2,136.0,139.7,141.4,145.3,148.7,153.0,
 1957  158.3,160.2,162.1,168.1,172.2,174.4,177.5,180.3,182.9,184.9,186.1,185.3,
 1958  184.4,186.2,186.5,182.4,177.5,173.3,171.9,171.7,170.7,169.2,167.9,167.7,
 1959  166.0,164.4,162.2,157.4,153.7,150.4,145.3,141.2,136.7,132.0,128.4,124.2,
 1960  120.9,117.4,114.3,112.5,110.2,107.3,102.5, 96.9, 92.9, 88.7, 83.8, 80.0,
 1961   76.8, 71.9, 66.5, 62.4, 58.6, 54.7, 52.3, 51.7, 51.5, 50.7, 49.9, 48.3,
 1962   45.1, 42.0, 40.2, 39.9, 39.7, 38.9, 37.5, 35.8, 33.8, 32.1, 31.4, 31.2,
 1963   30.8, 31.2, 31.1, 30.4, 30.2, 29.7, 29.3, 28.8, 28.5, 27.7, 25.7, 23.5,
 1964   21.8, 20.3, 18.1, 15.7, 14.0, 13.4, 13.5, 13.4, 13.1, 12.9, 13.3, 14.1,
 1965   14.8, 15.0, 15.5, 16.5, 17.3, 17.8, 18.2, 19.0, 19.9, 22.0, 24.4, 26.4,
 1966   29.3, 32.5, 35.4, 38.1, 41.0, 44.6, 49.7, 55.4, 61.3, 65.4, 67.8, 70.0,
 1967   72.1, 75.6, 78.6, 80.8, 83.4, 86.9, 89.4, 90.5, 90.5, 90.2, 92.1, 95.3,
 1968   97.1, 97.4, 99.0,101.3,101.6,100.7, 99.5, 99.1,101.1,103.7,104.4,103.9,
 1969  103.8,103.5,102.0,100.6,100.4,100.3,100.1,100.6, 99.6, 98.5, 98.9, 99.2,
 1970   99.8,100.2,100.4,100.3,100.0, 99.6, 98.2, 95.7, 92.2, 89.2, 85.2, 80.4,
 1971   77.0, 74.6, 71.6, 68.4, 65.9, 64.6, 63.4, 62.7, 63.8, 64.1, 64.7, 67.0,
 1972   68.3, 68.7, 69.8, 70.7, 70.2, 68.0, 66.0, 63.5, 60.5, 59.1, 57.3, 54.1,
 1973   50.3, 46.3, 44.2, 42.9, 41.0, 39.6, 38.1, 36.9, 35.3, 33.7, 33.0, 32.7,
 1974   33.8, 35.3, 35.0, 34.9, 35.5, 35.4, 35.0, 34.2, 33.3, 31.5, 29.1, 27.0,
 1975   25.0, 24.2, 23.4, 21.0, 19.3, 18.7, 17.8, 17.1, 17.2, 18.1, 18.8, 18.9,
 1976   17.9, 16.1, 15.2, 15.6, 15.5, 15.2, 15.9, 16.9, 17.1, 16.4, 16.4, 17.6,
 1977   19.3, 20.6, 22.3, 24.3, 26.1, 28.0, 30.4, 34.4, 39.6, 45.5, 51.2, 55.7,
 1978   59.7, 62.6, 67.2, 73.8, 79.5, 85.1, 92.4, 98.4,102.4,104.8,106.8,110.8,
 1979  116.2,122.7,127.8,132.0,137.5,142.8,144.6,144.9,145.2,147.1,151.2,153.2,
 1980  152.6,151.5,149.9,147.9,145.8,144.3,142.5,140.3,140.1,140.2,138.0,133.4,
 1981  131.3,132.3,133.7,134.1,133.6,132.3,131.3,132.0,133.5,133.0,129.9,129.0,
 1982  128.3,124.9,121.2,116.8,112.8,110.4,108.5,103.3, 95.8, 90.9, 90.0, 89.9,
 1983   88.2, 86.0, 82.0, 77.9, 74.0, 68.0, 63.4, 63.7, 65.7, 65.9, 64.6, 62.1,
 1984   58.6, 55.3, 52.2, 49.2, 47.2, 46.3, 44.2, 40.0, 34.9, 30.4, 26.5, 23.8,
 1985   22.7, 21.9, 20.9, 20.8, 20.8, 20.5, 19.9, 19.7, 19.8, 19.8, 19.4, 18.0,
 1986   16.7, 16.0, 16.0, 16.6, 17.1, 16.7, 16.6, 16.1, 15.3, 16.1, 17.7, 18.9,
 1987   20.1, 21.9, 24.2, 26.3, 28.2, 29.9, 32.4, 35.7, 39.5, 43.6, 46.5, 50.6,
